idJobCustomer,idCustomer,pickupLocationId,idSupplier,deliveryLocationId,jobdate,canceled,deleted,project_id,parent,status_pickup,status_delivery,delivery_type,created_datetime,idClient
816187,207,7708,954,62938,2/10/2023,0,0,31928,0,1,1,7,28/9/2023 21:39:00,954
816192,207,7708,954,62938,2/10/2023,0,0,31928,0,1,1,7,28/9/2023 21:39:40,954
637717,186,9264,258,54867,3/10/2023,0,0,28342,0,1,1,5,13/4/2023 02:06:27,258
774962,429,10105,409,42265,3/10/2023,0,0,20960,0,1,1,5,21/8/2023 00:13:36,409
780981,429,10105,409,46623,3/10/2023,0,0,23348,0,1,1,4,25/8/2023 03:10:41,409
781306,429,1351,346,47058,3/10/2023,0,0,23693,0,1,1,1,27/8/2023 08:12:44,346
782571,186,62407,258,63038,3/10/2023,0,0,32008,0,1,1,5,28/8/2023 05:43:07,258
783316,186,49327,258,55192,3/10/2023,0,0,28642,0,1,1,47,28/8/2023 22:26:33,258
784868,186,9264,258,48638,3/10/2023,0,0,24893,0,1,1,4,29/8/2023 22:25:57,258
786638,268,63607,81,1407,3/10/2023,0,0,32172,0,1,1,0,31/8/2023 00:57:01,268
787248,186,49327,258,55192,3/10/2023,0,0,28642,0,1,1,47,31/8/2023 19:55:42,258
789868,430,10485,5,51993,3/10/2023,0,0,26433,0,1,1,6,4/9/2023 19:31:01,5
789873,430,10485,5,52932,3/10/2023,0,0,27117,0,1,1,6,4/9/2023 19:32:16,5
790433,186,49327,258,56162,3/10/2023,0,0,29122,0,1,1,47,4/9/2023 22:34:31,258
792573,429,10105,409,38508,3/10/2023,0,0,19614,0,1,1,5,6/9/2023 04:21:33,409
792753,186,9264,258,58461,3/10/2023,0,0,30421,0,1,1,9,6/9/2023 06:47:21,258
793243,186,49327,258,53633,3/10/2023,0,0,27618,0,1,1,47,6/9/2023 22:58:02,258
798498,186,9264,233,58064,3/10/2023,0,0,30199,0,1,1,5,12/9/2023 05:06:50,233
798633,429,10105,409,41670,3/10/2023,0,0,20754,0,1,1,5,12/9/2023 06:52:52,409
799408,186,1653,258,61507,3/10/2023,0,0,31322,0,1,1,1,13/9/2023 03:01:58,258
799668,258,66013,429,1351,3/10/2023,0,0,0,0,1,1,8,13/9/2023 04:41:00,258
799808,429,1351,268,56222,3/10/2023,0,0,29167,0,1,1,42,13/9/2023 05:59:03,268
801063,186,9264,258,46753,3/10/2023,0,0,23463,0,1,1,9,14/9/2023 02:33:28,258
802593,258,50312,429,1351,3/10/2023,0,0,0,0,1,1,8,15/9/2023 04:23:44,258
804463,429,10105,2242,58571,3/10/2023,0,0,30541,0,1,1,5,18/9/2023 04:08:41,2242
804503,429,1351,262,55532,3/10/2023,0,0,28897,0,1,1,1,18/9/2023 04:11:41,262
804563,207,7708,954,58199,3/10/2023,0,0,30289,0,1,1,38,18/9/2023 04:17:45,954
804728,207,7708,689,51978,3/10/2023,0,0,26423,0,1,1,38,18/9/2023 04:31:11,689
804828,186,49327,258,50367,3/10/2023,0,0,25742,0,1,1,47,18/9/2023 05:26:19,258
806908,429,1351,262,55532,3/10/2023,0,0,28897,0,1,1,1,19/9/2023 23:50:25,262
807013,186,9264,258,57309,3/10/2023,0,0,30004,0,1,1,3,20/9/2023 01:41:07,258
807443,1077,20952,349,59696,3/10/2023,0,0,30786,0,1,1,3,20/9/2023 05:21:56,349
807513,186,62407,258,63038,3/10/2023,0,0,32008,0,1,1,5,20/9/2023 05:43:14,258
807678,182,60627,258,61492,3/10/2023,0,0,31302,0,1,1,47,20/9/2023 06:52:43,258
