idJobCustToItem,idJobCustomer,idJobItem,deleted
2394081,881056,1586421,0
2394086,881056,1586426,0
2394091,881056,1586431,0
2394096,881056,1586436,0
2305557,830427,1498372,0
2305562,830427,1498377,0
2334892,847092,1527552,0
2315132,835907,1507872,0
2315137,835907,1507877,0
2346681,854191,1539316,0
2353306,857836,1545866,0
2396826,882836,1589161,0
2354226,858436,1546786,0
2354231,858436,1546791,0
2354236,858436,1546796,0
2341956,851261,1534596,0
2341961,851261,1534601,0
2341966,851261,1534606,0
2341971,851261,1534611,0
2341976,851261,1534616,0
2286657,819512,1479522,0
2286662,819512,1479527,0
2286667,819512,1479532,0
2398566,883891,1590891,0
2369301,867301,1561796,0
2307507,831587,1500307,0
2377371,872141,1569846,0
2329032,843902,1521702,0
2318637,837902,1511342,0
2318642,837902,1511347,0
2327182,842737,1519852,0
2327187,842737,1519857,0
2327192,842737,1519862,0
2327197,842737,1519867,0
2327202,842737,1519872,0
2326542,842347,1519212,0
2295202,824417,1488062,0
2298027,826112,1490887,0
2357296,860396,1549826,0
2318442,837787,1511147,0
2313942,835082,1506692,0
2313947,835082,1506697,0
2285742,818947,1478607,0
2286047,819102,1478912,0
2339536,849901,1532181,0
2339541,849901,1532186,0
2339546,849901,1532191,0
2339551,849901,1532196,0
2388661,877866,1581091,0
2324362,841232,1517042,0
2286972,819732,1479837,0
2303917,829547,1496732,0
2325752,842057,1518432,0
2360301,861896,1552806,0
2360306,861896,1552811,0
2360311,861896,1552816,0
2327107,842682,1519777,0
2327112,842682,1519782,0
2366371,865676,1558866,0
2366376,865676,1558871,0
2366381,865676,1558876,0
2366386,865676,1558881,0
2386731,876656,1579201,0
2386736,876656,1579206,0
2386741,876656,1579211,0
2386746,876656,1579216,0
2386751,876656,1579221,0
2386756,876656,1579226,0
2351231,856581,1543816,0
2373436,869656,1565921,0
2342116,851351,1534756,0
2338311,849291,1530971,0
2294977,824297,1487837,0
2294982,824297,1487842,0
2294987,824297,1487847,0
2388791,877946,1581221,0
2388796,877946,1581226,0
2388801,877946,1581231,0
2388806,877946,1581236,0
2388811,877946,1581241,0
2374586,870461,1567061,0
2331632,845467,1524292,0
2314847,835722,1507587,0
2392526,880176,1584866,0
2317182,837142,1509907,0
2317187,837142,1509912,0
2317192,837142,1509917,0
2317197,837142,1509922,0
2317202,837142,1509927,0
2320262,838892,1512952,0
2320267,838892,1512957,0
2320272,838892,1512962,0
2320277,838892,1512967,0
2365761,865226,1558256,0
2327442,842882,1520112,0
2327447,842882,1520117,0
2327452,842882,1520122,0
2304632,829997,1497447,0
2383946,875201,1576421,0
2383951,875201,1576426,0
2332397,845862,1525057,0
2332402,845862,1525062,0
2332407,845862,1525067,0
2332412,845862,1525072,0
2298062,826127,1490922,0
2298067,826127,1490927,0
2299642,827222,1492502,0
2316157,836432,1508882,0
2316162,836432,1508887,0
2331192,845157,1523862,0
2331197,845157,1523867,0
2331202,845157,1523872,0
2331207,845157,1523877,0
2331212,845157,1523882,0
2338041,849231,1530701,0
2318052,837512,1510757,0
2374416,870331,1566891,0
2301552,828267,1494402,0
2301557,828267,1494407,0
2301562,828267,1494412,0
2301567,828267,1494417,0
2301572,828267,1494422,0
2377296,872086,1569771,0
2398596,883916,1590921,0
2385166,875836,1577636,0
2385171,875836,1577641,0
2385176,875836,1577646,0
2386201,876426,1578671,0
2386206,876426,1578676,0
2386211,876426,1578681,0
2386216,876426,1578686,0
2309422,832452,1502222,0
2395131,881756,1587471,0
2395136,881756,1587476,0
2395141,881756,1587481,0
2394291,881211,1586631,0
2354051,858296,1546611,0
2351916,856951,1544501,0
2300072,827367,1492932,0
2300077,827367,1492937,0
2364161,864371,1556656,0
2301937,828522,1494787,0
2389466,878301,1581896,0
2358261,860846,1550766,0
2381426,873626,1573901,0
2383276,874881,1575751,0
2383281,874881,1575756,0
2383286,874881,1575761,0
2383291,874881,1575766,0
2383296,874881,1575771,0
2348966,855201,1541601,0
2348971,855201,1541606,0
2346111,853781,1538746,0
2295332,824517,1488192,0
2295337,824517,1488197,0
2295342,824517,1488202,0
2370346,867906,1562841,0
2309642,832582,1502442,0
2270388,809938,1463288,0
2383156,874836,1575631,0
2337771,849056,1530431,0
2366056,865431,1558551,0
2391161,879331,1583501,0
2291537,822412,1484402,0
2352131,857086,1544716,0
2384776,875636,1577246,0
2396166,882351,1588501,0
2291647,822462,1484507,0
2291652,822462,1484512,0
2311652,833797,1504432,0
2375611,871016,1568086,0
2375616,871016,1568091,0
2365606,865141,1558101,0
2398466,883831,1590791,0
2366976,865881,1559471,0
2366981,865881,1559476,0
2366986,865881,1559481,0
2366991,865881,1559486,0
2366996,865881,1559491,0
2327282,842797,1519952,0
2327287,842797,1519957,0
2327292,842797,1519962,0
2292752,823117,1485612,0
2286087,819142,1478952,0
2386396,876516,1578866,0
